GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
GATA4,0.00010514,0.0000032,8.465722321,4.904990579,1.003362525,1.003362525
C9orf9,0.000106314,0.00000326,-8.450173692,4.886439854,-1.22978369,1.22978369
LOC100128338,0.000107947,0.00000336,8.424395567,4.85562347,1.286330848,1.286330848
CNOT6L,0.000109278,0.00000343,8.407136278,4.834948217,1.902093233,1.902093233
PML,0.00011037,0.0000035,8.390304426,4.814751943,1.18245401,1.18245401
LOC729706,0.000112375,0.00000362,8.361767989,4.780436752,2.30720724,2.30720724
FAM71F1,0.000114114,0.00000374,8.334839674,4.747968822,1.130585276,1.130585276
CMPK2,0.000114866,0.00000377,8.326990443,4.738489018,2.418498679,2.418498679
NLRP1,0.000115004,0.00000378,8.324461071,4.735432677,2.538330926,2.538330926
LOC100128714,0.000115278,0.00000381,8.318675032,4.728438372,1.019306785,1.019306785
PSD4,0.00011941,0.00000401,8.274745574,4.675208016,1.586802201,1.586802201
TXNDC17,0.000120311,0.00000406,8.263998834,4.662151588,1.262539345,1.262539345
SH2D4B,0.000120834,0.0000041,8.256414231,4.652928754,1.109199562,1.109199562
ARHGAP23,0.000121218,0.00000413,8.249114457,4.644045897,1.596789542,1.596789542
BMP7,0.00012225,0.00000419,8.238544263,4.63117228,1.497308908,1.497308908
NUP214,0.000126454,0.00000448,8.181780125,4.561813146,2.075332365,2.075332365
TSPO2,0.000128242,0.00000462,8.155746053,4.529875117,1.066269918,1.066269918
LOC728093,0.000128647,0.00000466,8.148188909,4.520589117,1.511463305,1.511463305
ASTN2,0.00012936,0.00000472,8.137425653,4.507351818,1.113831414,1.113831414
LOC648740,0.00012936,0.00000472,8.137348456,4.507256826,1.021894198,1.021894198
GPER,0.000130408,0.0000048,8.124692992,4.491674623,1.111812106,1.111812106
CXCL11,0.000131683,0.00000492,8.102793324,4.46466526,1.903945395,1.903945395
KCNRG,0.00013211,0.00000495,-8.097607836,4.458261491,-1.222008561,1.222008561
LOC200830,0.000132321,0.00000497,8.094574077,4.45451349,1.13732413,1.13732413
LOC158863,0.000135679,0.00000522,-8.055100721,4.405646363,-1.102758482,1.102758482
MMP25,0.000136439,0.00000526,8.048388898,4.397318675,1.274651656,1.274651656
OR4D11,0.000136627,0.00000529,8.043510318,4.391262182,2.409554277,2.409554277
SPRR3,0.000138649,0.00000541,-8.02514582,4.368437955,-1.185645748,1.185645748
C13orf35,0.000141391,0.00000563,7.992455729,4.327708542,2.233750538,2.233750538
MX1,0.000142067,0.00000569,7.983238292,4.316200944,1.525638364,1.525638364
AURKB,0.000142067,0.0000057,7.981895304,4.31452342,1.083845683,1.083845683
C6orf225,0.000148182,0.00000617,-7.916216711,4.232216911,-1.097145111,1.097145111
ND4L,0.000148242,0.00000618,-7.915314783,4.231082984,-1.118793078,1.118793078
ANKS1A,0.000150532,0.00000634,7.894248452,4.204569549,2.158315578,2.158315578
CHI3L1,0.000152882,0.00000659,-7.863696978,4.166021829,-1.044128965,1.044128965
WDR45,0.000154988,0.00000678,7.840511908,4.136692009,1.504129388,1.504129388
RASD1,0.000156814,0.00000693,7.821823153,4.113001969,1.567746299,1.567746299
TBC1D10A,0.000161257,0.00000737,7.772367201,4.050102878,2.142319016,2.142319016
MX2,0.000163214,0.00000752,7.756471235,4.029821663,2.127513449,2.127513449
IL28A,0.000164853,0.00000763,7.74479863,4.014908908,1.414053747,1.414053747
SBSN,0.000165307,0.0000077,-7.737053497,4.005004474,-1.573827998,1.573827998
TENC1,0.000165307,0.0000077,7.737518159,4.005598891,1.562448364,1.562448364
PTPRS,0.000171136,0.00000819,7.687362269,3.941281459,1.133930318,1.133930318
C4orf22,0.000175249,0.00000855,-7.653369277,3.897511389,-1.01574777,1.01574777
PADI6,0.000180239,0.00000894,7.617722786,3.851456093,1.215822904,1.215822904
KRT16,0.000184534,0.0000094,-7.577833737,3.799729122,-1.56771497,1.56771497
EXOC3L2,0.00018647,0.00000967,7.555752797,3.771008471,1.264151925,1.264151925
MORN5,0.000191375,0.0000103,-7.509149906,3.710188492,-1.408046873,1.408046873
OAS2,0.000192458,0.0000103,7.502137606,3.701012974,1.205499732,1.205499732
C1orf192,0.000193993,0.0000105,-7.492240274,3.688051718,-1.20680543,1.20680543
HAO1,0.000194796,0.0000105,7.487879022,3.682336373,1.088076429,1.088076429
SPA17,0.000199322,0.000011,-7.452690353,3.636133009,-1.106092276,1.106092276
IFI35,0.000200606,0.0000112,7.441877363,3.621903415,1.02842957,1.02842957
CAPSL,0.00020482,0.0000116,-7.413806966,3.584893282,-1.370804368,1.370804368
TTLL6,0.000205694,0.0000117,7.404621934,3.572760974,2.789708005,2.789708005
RHBDL1,0.000205762,0.0000117,7.403388414,3.571130814,1.272432483,1.272432483
SLC18A3,0.000205694,0.0000117,7.406110857,3.5747284,1.1060681,1.1060681
MAGEB17,0.000207861,0.0000119,7.390206387,3.553697813,1.775010584,1.775010584
THBD,0.00021135,0.0000123,7.368739818,3.525260519,1.118783846,1.118783846
DKFZp686A05212,0.000216443,0.0000127,7.343165817,3.491304001,1.923954969,1.923954969
CCDC89,0.000217409,0.0000128,-7.337825637,3.484202721,-1.047638128,1.047638128
DDX58,0.00022011,0.000013,7.322119411,3.463295342,1.336044784,1.336044784
PI3,0.00022146,0.0000132,-7.314662582,3.453357918,-1.223680282,1.223680282
C19orf26,0.000229177,0.0000139,7.27241259,3.39691594,1.101879142,1.101879142
FCER1G,0.000233555,0.0000143,7.25251835,3.370258245,1.069851645,1.069851645
CCDC129,0.000236675,0.0000146,7.234047277,3.34546107,1.648114989,1.648114989
PPP1R42,0.000237005,0.0000147,-7.231884632,3.342554815,-1.178443862,1.178443862
AMTN,0.000240767,0.0000151,-7.210787325,3.314171086,-1.10358586,1.10358586
LIMS2,0.000244683,0.0000155,7.188833682,3.284573009,1.111355059,1.111355059
KRTAP10-9,0.000246222,0.0000157,7.180868342,3.273818351,1.554856051,1.554856051
HSPB9,0.00024805,0.0000159,7.1713661,3.26097763,1.797655674,1.797655674
IRF7,0.000253661,0.0000165,7.139780465,3.218208956,1.334301976,1.334301976
FCN3,0.000254644,0.0000166,7.134471888,3.211007874,1.034567995,1.034567995
PPYR1,0.000256787,0.0000169,7.12436652,3.197289611,1.209531614,1.209531614
LOC285141,0.000259261,0.0000171,-7.112361812,3.180975323,-1.07816299,1.07816299
EFNA2,0.000264396,0.0000176,7.091214455,3.152189626,1.059029924,1.059029924
FAM183B,0.000265832,0.0000178,-7.084383441,3.14287855,-1.156185852,1.156185852
DHX58,0.000269876,0.0000183,7.064736531,3.116063954,1.119905,1.119905
LYZL6,0.000273204,0.0000186,7.04933049,3.095001339,1.342580616,1.342580616
STOML3,0.000278859,0.0000193,-7.023575753,3.059719415,-1.359589057,1.359589057
LOC100128348,0.000281144,0.0000195,7.014270264,3.046949779,1.079629052,1.079629052
LOC145845,0.000285466,0.00002,6.99707318,3.023320163,1.311673334,1.311673334
PTK2B,0.00031449,0.0000233,6.880819134,2.862535895,1.014727686,1.014727686
SGIP1,0.00032223,0.0000242,6.854452171,2.825814635,1.751825452,1.751825452
LRRC46,0.000329123,0.0000251,-6.827447821,2.788107625,-1.064525181,1.064525181
IFI44L,0.000330379,0.0000253,6.820221016,2.777999754,1.641516924,1.641516924
NPPB,0.000334057,0.0000259,6.804437701,2.755899415,1.167038119,1.167038119
PTCH2,0.000336435,0.0000262,6.795318515,2.743114905,1.414773567,1.414773567
ADRB1,0.000336821,0.0000262,6.794076068,2.741372195,1.064847985,1.064847985
LOC283888,0.000338845,0.0000265,6.786197666,2.730316691,1.010193442,1.010193442
