,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
IFNA2,10.12831407,-0.475528742,0.475528742,0.189269297,6.325342231,0.011902452,0.03676535
SKI,386.4359937,-0.471668856,0.471668856,0.176183143,7.425240914,0.006431521,0.0224901
LILRB1,301.0750285,0.464585933,0.464585933,0.115419437,4.025196667,5.69277E-05,0.000422579
CEBPB,1549.616136,-0.464235861,0.464235861,0.142775745,10.96232141,0.000929833,0.004456784
BCL2L11,83.02605825,-0.442503633,0.442503633,0.145141775,9.531028891,0.002020268,0.008259332
IRF1,656.4472223,0.441912274,0.441912274,0.161484981,2.736553398,0.006208652,0.022467559
GBP5,354.8626213,0.441221618,0.441221618,0.183089296,2.409871185,0.015958154,0.047767924
CCL11,11.59087958,-0.440114257,0.440114257,0.177240344,6.127703861,0.01330796,0.040655085
TRAF3,166.2111082,-0.438055081,0.438055081,0.144916112,9.413144533,0.002154355,0.008679863
HLA-A,9033.188657,0.437978237,0.437978237,0.119266147,3.672276242,0.0002404,0.001480759
SLAMF6,98.09713172,-0.437474091,0.437474091,0.1696446,6.837458304,0.008926576,0.029371915
CD74,6281.974905,-0.433504864,0.433504864,0.171884283,6.583546609,0.010292562,0.032969312
LTB4R2,74.07484475,0.432871297,0.432871297,0.140358231,3.0840464,0.002042057,0.008567763
MAP4K4,706.752772,-0.429037088,0.429037088,0.135459148,10.36750966,0.001282524,0.005858435
TGFB1,1175.456229,0.416486807,0.416486807,0.111311712,3.741626084,0.000182833,0.001150658
STAT4,293.8376421,0.414834795,0.414834795,0.160146076,2.590352538,0.009587769,0.031904128
LCP2,2343.19881,0.410034018,0.410034018,0.102105612,4.015783373,5.92487E-05,0.00043424
ICAM2,217.4463256,-0.409038047,0.409038047,0.161935854,6.573807223,0.010349033,0.032969312
CD44,1587.685989,-0.408248652,0.408248652,0.152848804,7.367309539,0.006642024,0.022937672
CFP,817.9032929,0.407994441,0.407994441,0.168588875,2.420055535,0.015518137,0.047041892
NFKBIZ,320.8875788,0.398961228,0.398961228,0.164062642,2.431761573,0.015025595,0.04603079
CTSS,12781.57732,-0.3936335,0.3936335,0.124953984,10.24189045,0.001372868,0.006155764
STAT5B,639.5679713,0.390841387,0.390841387,0.157028558,2.488982837,0.012810915,0.040312608
ATG10,32.56042498,0.385259886,0.385259886,0.149529092,6.616284044,0.010105045,0.032665147
NOD1,72.09841349,0.380501764,0.380501764,0.134099042,2.837468184,0.004547288,0.017096621
CUL9,65.26085761,0.377820439,0.377820439,0.147605845,2.559657713,0.01047753,0.034273955
ABL1,71.93729147,0.377115082,0.377115082,0.129622947,2.909323479,0.003622119,0.014075213
RUNX1,143.6314361,0.373211741,0.373211741,0.119105379,3.133458325,0.001727594,0.007638879
MAP4K2,286.0354808,0.365174923,0.365174923,0.104526645,3.49360607,0.000476544,0.002603007
MYD88,1142.255276,0.360928366,0.360928366,0.096446106,3.74228033,0.000182358,0.001150658
RARRES3,570.9669036,0.359186247,0.359186247,0.149761179,2.39839356,0.016467162,0.04864534
CD99,2281.847223,0.357949581,0.357949581,0.147466204,2.427332988,0.015210288,0.046351352
IKZF1,281.1857124,0.329943937,0.329943937,0.120191483,2.745152387,0.006048281,0.022141081
IRAK1,140.3478378,0.326716468,0.326716468,0.119665631,2.730244804,0.006328731,0.022619354
