"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","absLogFC","logCPM","PValue","FDR_adjusted_P.value"
"CXCL6",28.97124268,1.73228047,1.73228047,0.450459769,15.05977026,0.00010416,0.005273138,0.185,0.185,-0.098,0.467479399,0.549358021
"CYP27B1",92.57150957,1.208015269,1.208015269,0.249447505,23.44742059,1.28375e-06,0.000110438,-0.488,0.488,4.541,0.098522479,0.146250258
"CYP4F3",66.76086535,-1.070881199,1.070881199,0.303811725,3.524818533,0.000423773,0.016472222,0.134,0.134,-0.401,0.703997352,0.766978213
"EDN1",254.5271975,1.062584325,1.062584325,0.168913467,-6.290702228,3.16033e-10,5.32581e-08,-0.561,0.561,4.097,0.001430657,0.003585778
"EPSTI1",98.11285772,1.046744971,1.046744971,0.260300622,-4.021292627,5.78796e-05,0.003122962,1.642,1.642,3.271,3.08679e-13,5.366e-12
"FAM167A",47.41238927,1.09877016,1.09877016,0.327822516,11.2525613,0.000795132,0.027604078,0.555,0.555,1.487,0.017262212,0.031734954
"GBP5",28.63619206,1.833151388,1.833151388,0.476507924,-3.847053312,0.000119547,0.005930108,2.776,2.776,1.016,4.68943e-26,4.30042e-24
"HBEGF",989.2900786,1.293908866,1.293908866,0.112310111,-11.52085825,1.03574e-30,5.30904e-28,1.535,1.535,5.839,8.84037e-08,6.12927e-07
"HELZ2",195.7082155,1.012830785,1.012830785,0.238616477,-4.244597013,2.18987e-05,0.001353755,1.286,1.286,5.439,1.72842e-12,2.68522e-11
"HEPHL1",230.4146623,1.309915237,1.309915237,0.163785228,-7.997761787,1.26701e-15,2.9409e-13,-0.113,0.113,4.664,0.605261669,0.6786013
"ICAM1",1885.245505,1.863934773,1.863934773,0.13132363,-14.19344541,1.00593e-45,9.74681e-43,0.493,0.493,3.593,0.00682047,0.014103566
"IFI27",319.9808809,2.897123086,2.897123086,0.374411061,-7.737813832,1.01141e-14,2.18287e-12,0.593,0.593,4.332,0.017755998,0.032547634
"IFI44L",134.2364397,2.280814132,2.280814132,0.6277324,-3.633417888,0.000279691,0.012030646,3.892,3.892,3.389,1.1255e-32,2.33887e-30
"IFI6",203.7141021,2.346980119,2.346980119,0.565276552,-4.151914863,3.29705e-05,0.001940684,0.939,0.939,4.226,2.67371e-05,0.000106661
"IFITM1",113.5989393,1.616884357,1.616884357,0.237888149,-6.796826009,1.06949e-11,1.96371e-09,2.18,2.18,5.33,9.83578e-25,7.68242e-23
"IFITM10",194.4429149,-1.568796166,1.568796166,0.222246143,7.058822922,1.67919e-12,3.38646e-10,-0.384,0.384,-2.157,0.717634617,0.778088203
"IL1A",2100.881989,1.074037969,1.074037969,0.132980291,-8.076670328,6.65592e-16,1.57464e-13,-0.132,0.132,7.716,0.618833324,0.691149037
"IL1B",4401.203174,1.064606147,1.064606147,0.09665884,-11.01405882,3.26936e-28,1.48962e-25,-0.006,0.006,8.279,0.990731798,1
"IL32",858.4681244,1.222790552,1.222790552,0.119422173,-10.23922546,1.32291e-24,5.08577e-22,0.217,0.217,2.72,0.300296846,0.378858408
"IL36G",271.4482972,2.73429441,2.73429441,0.17755659,238.3942603,8.80711e-54,2.70863e-50,0.871,0.871,2.57,0.025215921,0.044283285
