"GENE_SYMBOL","baseMean","log2FoldChange","abs.log2FC.","lfcSE","stat","pvalue","padj","Log_FoldChange","adjLogFoldChange","logCPM","PValue","FDR_adjusted_P.value"
"TNFAIP3",2289.431468,1.613686484,1.613686484,0.10570508,-15.26593123,1.28973e-52,2.26661e-49,1.388,1.388,5.237,7.53791e-21,1.4689e-18
"TNFSF14",33.04432667,1.994627993,1.994627993,0.41285483,23.67860114,1.13841e-06,9.93246e-05,2.04,2.04,-2.042,4.42473e-08,1.75215e-06
"TNIP1",4660.215402,1.266138159,1.266138159,0.089216252,-14.19178825,1.02998e-45,9.74681e-43,0.307,0.307,8.02,0.076930925,0.306221198
"TRIML2",46.97140479,1.399532845,1.399532845,0.342913857,16.77260559,4.21372e-05,0.002433673,0.994,0.994,-1.21,1.75263e-05,0.000389736
"TYMP",374.0459343,1.042687818,1.042687818,0.190612223,-5.470204395,4.49517e-08,5.16818e-06,1.818,1.818,6.719,9.64708e-15,9.04261e-13
"VNN1",49.19202262,1.885235063,1.885235063,0.341536378,30.6242037,3.13163e-08,3.74032e-06,0.635,0.635,-0.145,0.002658032,0.027670186
"VTCN1",182.1986737,-1.072223154,1.072223154,0.198378047,5.404948649,6.4827e-08,7.25001e-06,-0.498,0.498,-2.107,0.31085738,0.655003006
"XAF1",94.74943781,2.533035725,2.533035725,0.31835858,-7.956549274,1.76904e-15,4.03013e-13,4.07,4.07,3.633,2.98789e-38,1.95223e-35
"ZC3H12A",870.9271457,1.676098106,1.676098106,0.136181724,-12.30780506,8.22291e-35,5.32412e-32,0.365,0.365,5.589,0.114962285,0.389312066
"ZNF488",47.34138027,-1.137925177,1.137925177,0.320479137,3.550699705,0.000384209,0.015395874,-0.663,0.663,0.97,0.001735378,0.019764149
